"","","","","","","","","","","","Satisfaccion con su trabajo","","","Como describiria las relaciones en su lugar de trabajo","","Total de años trabajados","","","","",""
"36","Sí","Rara Vez Viaja","Investigación y Desarrollo","9","3","Medicina","90","4","Masculino"," Investigador Científico","3","Casado","17","1","80","2","1","0","0","0","0"
"59","No","Viaja Frecuentemente","Ventas","1","1","Ciencias de la Vida","91","1","Femenino"," Ejecutivo de Ventas","3","Soltero","11","4","80","20","4","2","3","1","3"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","94","3","Masculino"," Investigador Científico","2","Casado","23","4","80","6","5","3","4","0","4"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","1","4","Medicina","95","3","Masculino"," Investigador Científico","2","Soltero","17","2","80","1","1","4","1","1","0"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Ciencias de la Vida","96","2","Masculino"," Investigador Científico","2","Casado","17","2","80","10","10","3","4","0","9"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Ciencias de la Vida","97","2","Femenino","Técnico de laboratorio","4","Casado","12","2","80","5","1","3","0","0","0"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","8","4","Ciencias de la Vida","98","3","Femenino"," Director de Manufactura","4","Soltero","23","4","80","11","11","2","7","1","8"
"35","No","Rara Vez Viaja","Ventas","1","4","Marketing","100","3","Masculino"," Ejecutivo de Ventas","1","Soltero","14","2","80","16","15","2","13","2","8"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","6","4","Otro","101","4","Masculino","Director de Investigación","1","Casado","14","2","80","17","0","3","0","0","0"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Medicina","102","1","Masculino","Director de Investigación","3","Soltero","13","1","80","16","5","3","2","0","2"
"46","No","Rara Vez Viaja","Recursos Humanos","5","2","Medicina","103","2","Masculino","Recursos Humanos","2","Divorciado","22","4","80","16","4","2","2","0","2"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","1","1","Ciencias de la Vida","104","4","Masculino","Técnico de laboratorio","4","Casado","12","3","80","10","10","1","8","3","0"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Medicina","105","2","Masculino"," Investigador Científico","3","Soltero","18","1","80","6","6","3","4","0","4"
"55","No","Rara Vez Viaja","Ventas","1","2","Ciencias de la Vida","106","1","Masculino"," Ejecutivo de Ventas","4","Casado","14","4","80","24","1","4","0","1","0"
"38","No","No Viaja","Investigación y Desarrollo","6","3","Medicina","107","2","Femenino"," Investigador Científico","4","Divorciado","12","4","80","17","13","3","11","1","9"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","1","2","Medicina","110","1","Masculino"," Director de Manufactura","2","Casado","15","3","80","5","5","2","2","1","3"
"56","No","Rara Vez Viaja","Investigación y Desarrollo","7","3","Ciencias de la Vida","112","4","Masculino"," Director de Manufactura","4","Soltero","11","1","80","37","6","3","4","0","2"
"23","No","Rara Vez Viaja","Ventas","2","1","Técnico","113","3","Masculino","Ventas Representative","1","Divorciado","13","3","80","3","0","3","0","0","0"
"51","No","Rara Vez Viaja","Investigación y Desarrollo","9","4","Ciencias de la Vida","116","4","Masculino","Técnico de laboratorio","4","Casado","23","2","80","10","4","4","2","0","3"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","117","3","Masculino","Representante de Salud","4","Casado","19","1","80","11","11","3","10","10","8"
"46","Sí","Rara Vez Viaja","Ventas","9","2","Medicina","118","3","Masculino"," Ejecutivo de Ventas","4","Soltero","16","4","80","9","9","3","8","4","7"
"40","No","Viaja Frecuentemente","Investigación y Desarrollo","1","4","Ciencias de la Vida","119","3","Masculino","Representante de Salud","2","Casado","22","4","80","22","22","3","3","11","11"
"51","No","Rara Vez Viaja","Ventas","21","4","Marketing","120","3","Masculino"," Ejecutivo de Ventas","4","Soltero","22","4","80","11","10","2","7","1","0"
"30","No","Rara Vez Viaja","Ventas","4","2","Medicina","121","3","Femenino"," Ejecutivo de Ventas","2","Divorciado","12","2","80","11","11","4","8","2","7"
"46","No","Viaja Frecuentemente","Investigación y Desarrollo","1","3","Medicina","124","3","Masculino","Representante de Salud","1","Casado","13","3","80","21","10","5","9","9","5"
"32","No","Rara Vez Viaja","Ventas","6","4","Medicina","125","2","Masculino"," Ejecutivo de Ventas","3","Soltero","16","1","80","12","11","0","8","5","7"
"54","No","Rara Vez Viaja","Investigación y Desarrollo","2","4","Técnico","126","1","Femenino","Director de Investigación","3","Casado","12","1","80","16","4","5","3","0","3"
"24","No","Rara Vez Viaja","Ventas","3","2","Otro","128","1","Femenino"," Ejecutivo de Ventas","3","Casado","21","1","80","4","3","2","2","0","2"
"28","No","No Viaja","Ventas","4","3","Medicina","129","2","Masculino"," Ejecutivo de Ventas","3","Casado","15","2","80","5","5","3","4","0","4"
"58","No","Rara Vez Viaja","Ventas","10","4","Medicina","131","4","Masculino"," Ejecutivo de Ventas","3","Soltero","13","3","80","38","37","1","10","1","8"
"44","No","No Viaja","Investigación y Desarrollo","23","3","Medicina","132","2","Masculino","Técnico de laboratorio","2","Casado","12","3","80","17","3","3","2","1","2"
"37","Sí","Rara Vez Viaja","Recursos Humanos","6","4","Recursos Humanos","133","3","Masculino","Recursos Humanos","1","Divorciado","22","4","80","7","3","3","2","0","2"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","1","1","Ciencias de la Vida","134","4","Masculino"," Investigador Científico","1","Soltero","13","4","80","1","1","2","0","0","0"
"20","Sí","Viaja Frecuentemente","Investigación y Desarrollo","6","3","Ciencias de la Vida","137","4","Femenino","Técnico de laboratorio","4","Soltero","18","2","80","1","1","5","0","1","0"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","6","4","Otro","138","1","Femenino"," Investigador Científico","3","Soltero","14","3","80","16","16","3","13","2","10"
"37","No","No Viaja","Investigación y Desarrollo","2","2","Ciencias de la Vida","139","3","Masculino","Representante de Salud","4","Divorciado","14","4","80","17","1","2","0","0","0"
"59","No","No Viaja","Recursos Humanos","2","4","Recursos Humanos","140","3","Femenino","Gerente","4","Casado","21","4","80","30","3","3","2","2","2"
"50","No","Viaja Frecuentemente","Investigación y Desarrollo","1","3","Ciencias de la Vida","141","1","Femenino","Director de Investigación","2","Casado","19","1","80","28","8","1","3","0","7"
"25","Sí","Rara Vez Viaja","Ventas","5","3","Marketing","142","3","Masculino"," Ejecutivo de Ventas","3","Soltero","11","4","80","6","6","1","4","0","3"
"25","No","Rara Vez Viaja","Investigación y Desarrollo","7","1","Medicina","143","4","Masculino"," Investigador Científico","4","Casado","11","3","80","2","2","2","2","2","1"
"22","No","Rara Vez Viaja","Investigación y Desarrollo","15","3","Medicina","144","2","Femenino","Técnico de laboratorio","4","Soltero","15","3","80","1","0","5","0","0","0"
"51","No","Viaja Frecuentemente","Investigación y Desarrollo","1","4","Medicina","145","1","Femenino","Representante de Salud","1","Soltero","20","3","80","23","13","1","12","12","8"
"134","Sí","Viaja Frecuentemente","Investigación y Desarrollo","7","3","Ciencias de la Vida","147","1","Masculino","Técnico de laboratorio","3","Soltero","24","4","80","9","9","3","7","0","6"
"54","No","No Viaja","Recursos Humanos","26","3","Recursos Humanos","148","4","Femenino","Gerente","4","Soltero","12","3","80","23","5","3","3","4","4"
"24","No","Rara Vez Viaja","Investigación y Desarrollo","18","1","Ciencias de la Vida","150","2","Masculino","Técnico de laboratorio","3","Casado","12","3","80","6","5","2","3","1","2"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","6","4","Ciencias de la Vida","151","3","Femenino"," Investigador Científico","2","Divorciado","15","3","80","12","1","3","0","0","0"
"37","No","Rara Vez Viaja","Ventas","3","3","Ciencias de la Vida","152","3","Masculino"," Ejecutivo de Ventas","4","Soltero","12","1","80","12","5","3","3","1","3"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","5","3","Medicina","153","3","Femenino","Gerente","1","Soltero","12","4","80","14","11","6","10","5","8"
"36","No","Viaja Frecuentemente","Ventas","11","2","Técnico","154","2","Femenino"," Ejecutivo de Ventas","4","Casado","14","3","80","10","9","6","7","2","8"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","3","2","Ciencias de la Vida","155","1","Femenino","Técnico de laboratorio","4","Divorciado","22","1","80","7","1","2","0","0","0"
"43","No","Viaja Frecuentemente","Ventas","26","2","Ciencias de la Vida","158","3","Masculino","Gerente","4","Casado","12","4","80","25","25","3","12","4","12"
"30","No","Viaja Frecuentemente","Investigación y Desarrollo","23","3","Ciencias de la Vida","159","1","Masculino"," Investigador Científico","3","Divorciado","25","3","80","10","10","2","7","0","9"
"33","No","No Viaja","Ventas","22","2","Marketing","160","3","Masculino"," Ejecutivo de Ventas","2","Casado","13","1","80","8","7","2","7","0","7"
"56","Sí","Rara Vez Viaja","Investigación y Desarrollo","14","4","Ciencias de la Vida","161","2","Femenino"," Investigador Científico","2","Casado","18","1","80","7","5","2","4","4","3"
"51","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Ciencias de la Vida","162","1","Masculino","Director de Investigación","3","Soltero","13","3","80","23","20","5","18","15","15"
"31","Sí","Rara Vez Viaja","Ventas","6","4","Ciencias de la Vida","163","2","Masculino"," Ejecutivo de Ventas","3","Casado","18","2","80","12","7","3","7","7","7"
"26","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Otro","164","3","Femenino"," Investigador Científico","2","Casado","19","3","80","5","5","3","4","4","3"
"58","Sí","Rara Vez Viaja","Investigación y Desarrollo","23","4","Medicina","165","4","Femenino","Representante de Salud","4","Casado","12","4","80","40","40","3","10","15","6"
"19","Sí","Rara Vez Viaja","Ventas","22","1","Marketing","167","4","Masculino","Ventas Representative","3","Soltero","19","4","80","0","0","2","0","0","0"
"22","No","Rara Vez Viaja","Investigación y Desarrollo","2","1","Técnico","169","3","Masculino","Técnico de laboratorio","4","Casado","14","3","80","3","2","2","1","2","1"
"49","No","Rara Vez Viaja","Investigación y Desarrollo","20","4","Medicina","170","3","Femenino"," Director de Manufactura","1","Casado","14","3","80","16","15","2","11","5","11"
"43","No","Viaja Frecuentemente","Investigación y Desarrollo","28","3","Medicina","171","2","Femenino"," Investigador Científico","3","Soltero","12","4","80","18","3","2","2","1","2"
"50","No","Viaja Frecuentemente","Ventas","12","3","Marketing","174","3","Femenino"," Ejecutivo de Ventas","4","Soltero","11","4","80","16","2","3","2","2","1"
"31","Sí","Rara Vez Viaja","Ventas","20","3","Ciencias de la Vida","175","2","Femenino"," Ejecutivo de Ventas","3","Casado","11","3","80","4","2","2","2","2","2"
"41","No","Rara Vez Viaja","Ventas","9","1","Ciencias de la Vida","176","3","Masculino"," Ejecutivo de Ventas","3","Divorciado","13","3","80","12","9","2","7","0","7"
"26","No","Rara Vez Viaja","Recursos Humanos","25","1","Ciencias de la Vida","177","3","Femenino","Recursos Humanos","3","Casado","23","4","80","8","8","3","7","5","7"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","6","2","Medicina","178","2","Masculino"," Director de Manufactura","2","Divorciado","20","4","80","7","3","0","2","0","1"
"51","Sí","Viaja Frecuentemente","Investigación y Desarrollo","8","4","Ciencias de la Vida","179","1","Masculino"," Director de Manufactura","4","Soltero","15","4","80","18","4","2","2","0","3"
"39","No","Rara Vez Viaja","Ventas","4","4","Ciencias de la Vida","182","4","Femenino"," Ejecutivo de Ventas","3","Casado","14","3","80","17","15","1","11","5","9"
"25","No","Rara Vez Viaja","Ventas","28","3","Ciencias de la Vida","183","1","Masculino"," Ejecutivo de Ventas","3","Casado","18","4","80","6","2","3","2","2","2"
"30","No","Rara Vez Viaja","Recursos Humanos","9","3","Recursos Humanos","184","3","Masculino","Recursos Humanos","4","Casado","19","4","80","12","11","2","9","4","7"
"32","Sí","Rara Vez Viaja","Investigación y Desarrollo","9","3","Medicina","190","1","Femenino","Técnico de laboratorio","1","Soltero","22","1","80","10","5","2","4","0","4"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","29","3","Medicina","192","3","Masculino"," Investigador Científico","4","Soltero","13","2","80","9","6","2","5","0","3"
"38","No","Rara Vez Viaja","Investigación y Desarrollo","3","5","Técnico","193","4","Femenino"," Investigador Científico","3","Soltero","20","2","80","19","3","2","2","2","2"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","18","3","Ciencias de la Vida","194","1","Femenino"," Investigador Científico","3","Soltero","14","3","80","5","5","4","4","0","4"
"32","No","Viaja Frecuentemente","Ventas","9","2","Medicina","195","4","Masculino"," Ejecutivo de Ventas","4","Divorciado","17","4","80","9","8","2","7","0","7"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","5","3","Técnico","197","4","Femenino"," Investigador Científico","1","Divorciado","14","4","80","8","3","3","2","2","2"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","2","1","Medicina","198","2","Masculino","Técnico de laboratorio","4","Soltero","13","4","80","6","5","3","3","1","2"
"41","No","Viaja Frecuentemente","Investigación y Desarrollo","10","3","Ciencias de la Vida","199","4","Masculino","Gerente","1","Divorciado","13","2","80","21","7","2","6","7","7"
"41","No","Rara Vez Viaja","Investigación y Desarrollo","9","4","Ciencias de la Vida","200","3","Masculino","Técnico de laboratorio","1","Casado","21","4","80","7","5","2","0","1","4"
"19","No","Rara Vez Viaja","Investigación y Desarrollo","3","1","Medicina","201","2","Femenino","Técnico de laboratorio","2","Soltero","14","4","80","1","1","3","0","0","0"
"40","No","Viaja Frecuentemente","Investigación y Desarrollo","26","3","Medicina","202","2","Femenino"," Investigador Científico","2","Divorciado","11","1","80","20","20","2","7","2","13"
"35","No","Rara Vez Viaja","Ventas","1","5","Marketing","204","3","Masculino"," Ejecutivo de Ventas","2","Casado","13","1","80","10","10","3","8","0","6"
"53","No","Rara Vez Viaja","Ventas","6","2","Marketing","205","2","Masculino","Ventas Representative","3","Casado","20","4","80","13","7","3","7","4","5"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","9","3","Ciencias de la Vida","206","2","Masculino","Técnico de laboratorio","2","Divorciado","18","3","80","20","17","2","9","0","15"
"32","No","Viaja Frecuentemente","Ventas","8","3","Marketing","207","2","Femenino"," Ejecutivo de Ventas","4","Soltero","14","4","80","9","9","2","8","3","7"
"29","No","No Viaja","Investigación y Desarrollo","1","1","Técnico","208","4","Masculino"," Director de Manufactura","3","Casado","13","1","80","10","10","1","7","0","9"
"51","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Medicina","211","2","Masculino"," Director de Manufactura","3","Casado","17","3","80","10","1","2","0","0","0"
"58","No","Rara Vez Viaja","Investigación y Desarrollo","9","3","Medicina","214","2","Femenino"," Investigador Científico","2","Casado","20","2","80","9","1","3","0","0","0"
"40","No","Rara Vez Viaja","Ventas","4","4","Marketing","215","3","Masculino"," Ejecutivo de Ventas","4","Casado","11","1","80","15","12","2","11","2","11"
"34","No","Viaja Frecuentemente","Ventas","2","4","Marketing","216","3","Femenino","Ventas Representative","3","Casado","18","4","80","6","4","3","3","1","2"
"22","No","Rara Vez Viaja","Investigación y Desarrollo","19","1","Medicina","217","3","Masculino"," Investigador Científico","4","Casado","24","1","80","2","2","6","2","2","2"
"27","No","No Viaja","Investigación y Desarrollo","9","3","Medicina","218","4","Masculino"," Investigador Científico","2","Divorciado","18","4","80","6","2","1","2","2","2"
"28","No","Rara Vez Viaja","Investigación y Desarrollo","21","3","Medicina","221","3","Masculino"," Investigador Científico","4","Casado","11","3","80","5","5","2","2","0","2"
"57","No","Rara Vez Viaja","Investigación y Desarrollo","24","2","Ciencias de la Vida","223","3","Masculino","Representante de Salud","4","Divorciado","16","2","80","12","5","2","3","1","4"
"27","No","No Viaja","Investigación y Desarrollo","3","3","Medicina","224","3","Masculino"," Investigador Científico","3","Divorciado","15","4","80","1","1","2","1","0","1"
